id,name,lat,lng,category,country,city,sources,url,tags
6270,Long Island New York – Community Solar,40.8322006,-73.6926655,ecovillage,US,Port Washington ,Murmurations,LongIslandBuilders.com,Transition Group
6271,Community Solar,40.8254914,-73.681282,ecovillage,,Port Washington,Murmurations,LongIslandBuilders.com,Transition Group
6272,Crouch End,51.579449,-0.113093,ecovillage,GB,London,Murmurations,TransitionCrouchEnd.org.uk,Transition Group
6273,"Greensboro, NC",36.22294,-79.781611,ecovillage,US,Greensboro,Murmurations,TransitionGreensboro.ning.com,Transition Group
6274,Eugene,44.049819,-123.094705,ecovillage,US,Eugene,Murmurations,TransitionTownEugene.org,Transition Group
6275,Abingdon Carbon Cutters,51.6573870888189,-1.22947095566267,ecovillage,,Abingdon,Murmurations,abingdoncarboncutters.org.uk,Transition Group
6276,AGRhumus: Agroecología integrativa y Transición,43.39631685,-6.820278168,ecovillage,ES,Boal,Murmurations,agrhumus.com,Transition Group
6277,Albacete en Transición,38.989858,-1.859881,ecovillage,ES,Albacete,Murmurations,albaceteentransicion.blogspot.com.es,Transition Group
6278,Abbots Langley Transition Town Association (ALTTA) often known as “Abbots in Transition”,51.705438,-0.410319,ecovillage,GB,Abbots Langley,Murmurations,altta.org.uk,Transition Group
6279,AmayEnTransition,50.572672,5.306138,ecovillage,BE,Jehay,Murmurations,amayentransition.be,Transition Group
6280,Kiryu Ametsuchisha,36.4213515,139.3400288,ecovillage,JP,KIryu-shi,Murmurations,ametsuchisya.com,Transition Group
6281,Ananda Gaorii,55.8608058,11.5824051,ecovillage,DK,Vig,Murmurations,anandagaorii.dk,Transition Group
6282,Echange de graines / Printemps 2020,47.62798,-2.8229152,ecovillage,FR,,Murmurations,arradon-entransition.log.bzh,Transition Group
6283,TransitionTown Suzuka,34.868838,136.5469694,ecovillage,JP,Suzuka-shi,Murmurations,as-one.main.jp,Transition Group
6284,Átalakuló Wekerle – Transition Wekerle,47.49585,19.060185,ecovillage,HU,Budapest,Murmurations,atalakulowekerle.blogspot.hu,Transition Group
6285,Ath en Transition,50.633501,3.788273,ecovillage,BE,Ath,Murmurations,athentransition.be,Transition Group
6286,Barcelona en Transició,41.401451,2.156809,ecovillage,ES,Barcelona,Murmurations,barcelonaentransicio.wordpress.com,Transition Group
6287,Das Baumhaus Berlin,52.54427308,13.37242664,ecovillage,,,Murmurations,baumhausberlin.de,transition|wandel
6288,Beauvais en Transition,49.4565104,2.0623688,ecovillage,FR,BEAUVAIS,Murmurations,beauvais-en-transition.info,Transition Group
6289,Berchem,51.194846,4.423517,ecovillage,BE,Berchem,Murmurations,berchem.transitie.be,Transition Group
